SampleID	EdgeA	EdgeB	XEdge	TriangleXAX	L3XAX	
567000	2.00000	0.00000	146.00000	9.00000	248.00000	
568000	3.00000	0.00000	157.00000	9.00000	524.00000	
569000	4.00000	0.00000	160.00000	17.00000	706.00000	
570000	5.00000	0.00000	175.00000	19.00000	876.00000	
571000	10.00000	2.00000	168.00000	39.00000	1622.00000	
572000	10.00000	2.00000	170.00000	43.00000	1602.00000	
573000	6.00000	2.00000	163.00000	18.00000	876.00000	
574000	7.00000	1.00000	174.00000	29.00000	1124.00000	
575000	8.00000	2.00000	166.00000	39.00000	1382.00000	
576000	4.00000	4.00000	152.00000	15.00000	590.00000	
577000	2.00000	2.00000	159.00000	8.00000	325.00000	
578000	8.00000	1.00000	152.00000	26.00000	1019.00000	
579000	3.00000	3.00000	162.00000	10.00000	472.00000	
580000	6.00000	3.00000	172.00000	27.00000	1206.00000	
581000	5.00000	2.00000	184.00000	26.00000	1069.00000	
582000	6.00000	2.00000	156.00000	30.00000	1041.00000	
583000	6.00000	3.00000	171.00000	34.00000	1337.00000	
584000	8.00000	3.00000	144.00000	34.00000	1100.00000	
585000	13.00000	1.00000	174.00000	66.00000	2674.00000	
586000	7.00000	3.00000	180.00000	47.00000	1984.00000	
587000	8.00000	3.00000	179.00000	48.00000	1931.00000	
588000	5.00000	4.00000	158.00000	26.00000	771.00000	
589000	3.00000	4.00000	146.00000	11.00000	357.00000	
590000	4.00000	0.00000	152.00000	12.00000	566.00000	
591000	4.00000	1.00000	174.00000	20.00000	726.00000	
592000	3.00000	2.00000	163.00000	8.00000	349.00000	
593000	1.00000	1.00000	149.00000	2.00000	78.00000	
594000	3.00000	0.00000	132.00000	8.00000	276.00000	
595000	4.00000	2.00000	140.00000	15.00000	587.00000	
596000	6.00000	0.00000	152.00000	31.00000	1104.00000	
597000	8.00000	1.00000	160.00000	33.00000	1254.00000	
598000	5.00000	3.00000	166.00000	30.00000	918.00000	
599000	8.00000	2.00000	167.00000	45.00000	1784.00000	
600000	8.00000	2.00000	163.00000	35.00000	1477.00000	
601000	7.00000	3.00000	165.00000	41.00000	1677.00000	
602000	6.00000	1.00000	157.00000	22.00000	942.00000	
603000	6.00000	2.00000	153.00000	24.00000	951.00000	
604000	7.00000	1.00000	157.00000	27.00000	1029.00000	
605000	7.00000	2.00000	174.00000	38.00000	1483.00000	
606000	5.00000	4.00000	171.00000	27.00000	933.00000	
607000	9.00000	5.00000	166.00000	52.00000	1672.00000	
608000	9.00000	4.00000	165.00000	42.00000	1647.00000	
609000	9.00000	3.00000	171.00000	46.00000	1909.00000	
610000	7.00000	3.00000	174.00000	42.00000	1347.00000	
611000	11.00000	3.00000	183.00000	64.00000	2724.00000	
612000	11.00000	3.00000	170.00000	63.00000	2563.00000	
613000	8.00000	2.00000	159.00000	36.00000	1446.00000	
614000	9.00000	2.00000	158.00000	36.00000	1528.00000	
615000	7.00000	3.00000	150.00000	32.00000	1173.00000	
616000	6.00000	4.00000	154.00000	24.00000	986.00000	
617000	6.00000	2.00000	144.00000	17.00000	788.00000	
618000	6.00000	2.00000	156.00000	20.00000	905.00000	
619000	3.00000	0.00000	162.00000	10.00000	369.00000	
620000	8.00000	0.00000	169.00000	53.00000	1817.00000	
621000	8.00000	2.00000	178.00000	34.00000	1536.00000	
622000	10.00000	2.00000	163.00000	38.00000	1708.00000	
623000	7.00000	2.00000	185.00000	45.00000	1660.00000	
624000	14.00000	1.00000	179.00000	79.00000	3089.00000	
625000	12.00000	3.00000	180.00000	86.00000	2690.00000	
626000	10.00000	3.00000	179.00000	49.00000	2080.00000	
627000	6.00000	2.00000	155.00000	17.00000	842.00000	
628000	6.00000	0.00000	174.00000	21.00000	1084.00000	
629000	4.00000	1.00000	176.00000	20.00000	858.00000	
630000	5.00000	1.00000	180.00000	30.00000	1120.00000	
631000	6.00000	4.00000	177.00000	39.00000	1302.00000	
632000	8.00000	5.00000	174.00000	40.00000	1552.00000	
633000	7.00000	3.00000	178.00000	36.00000	1458.00000	
634000	11.00000	1.00000	185.00000	63.00000	2519.00000	
635000	9.00000	0.00000	171.00000	44.00000	2099.00000	
636000	9.00000	1.00000	182.00000	59.00000	2379.00000	
637000	6.00000	1.00000	193.00000	42.00000	1673.00000	
638000	8.00000	1.00000	196.00000	48.00000	2021.00000	
639000	13.00000	0.00000	184.00000	83.00000	3295.00000	
640000	7.00000	0.00000	167.00000	35.00000	1357.00000	
641000	7.00000	2.00000	149.00000	22.00000	982.00000	
642000	3.00000	4.00000	145.00000	7.00000	284.00000	
643000	4.00000	2.00000	145.00000	13.00000	483.00000	
644000	2.00000	2.00000	165.00000	11.00000	420.00000	
645000	1.00000	2.00000	157.00000	3.00000	150.00000	
646000	3.00000	0.00000	155.00000	15.00000	510.00000	
647000	3.00000	0.00000	144.00000	5.00000	261.00000	
648000	4.00000	0.00000	144.00000	15.00000	422.00000	
649000	6.00000	0.00000	158.00000	21.00000	747.00000	
650000	7.00000	1.00000	162.00000	23.00000	985.00000	
651000	6.00000	3.00000	162.00000	23.00000	948.00000	
652000	6.00000	1.00000	158.00000	19.00000	832.00000	
653000	6.00000	2.00000	177.00000	26.00000	1022.00000	
654000	9.00000	0.00000	166.00000	48.00000	1870.00000	
655000	13.00000	1.00000	173.00000	63.00000	2700.00000	
656000	11.00000	2.00000	187.00000	63.00000	2297.00000	
657000	17.00000	2.00000	184.00000	94.00000	3564.00000	
658000	10.00000	2.00000	168.00000	38.00000	1600.00000	
659000	11.00000	1.00000	158.00000	40.00000	1666.00000	
660000	8.00000	2.00000	161.00000	27.00000	1075.00000	
661000	7.00000	2.00000	172.00000	31.00000	1230.00000	
662000	12.00000	2.00000	161.00000	40.00000	1777.00000	
663000	10.00000	1.00000	154.00000	31.00000	1522.00000	
664000	6.00000	2.00000	164.00000	22.00000	922.00000	
665000	7.00000	3.00000	160.00000	26.00000	1123.00000	
666000	9.00000	3.00000	161.00000	36.00000	1369.00000	
